file,HUNGARIAN,JONKERVOLGENANT,BRANCH_AND_BOUND_2_DEEP
resources/umps10A.txt_5_2,7.7215E-5,2.887999999999999E-5,9.601510000000003E-4
resources/umps10B.txt_5_2,1.0486000000000004E-4,2.465400000000002E-5,0.0010119450000000002
resources/umps10C.txt_5_2,5.636E-5,2.0731000000000002E-5,6.380860000000001E-4
resources/umps4.txt_2_1,1.4894899999999997E-4,5.003200000000001E-5,6.456279999999999E-4
resources/umps8.txt_4_2,2.3623499999999998E-4,5.7958999999999985E-5,9.307469999999997E-4
resources/umps8A.txt_4_2,9.189400000000003E-5,4.476800000000003E-5,7.660220000000002E-4
resources/umps8B.txt_4_2,9.134600000000007E-5,3.5887000000000004E-5,7.147790000000002E-4
resources/umps8C.txt_4_2,1.0032600000000004E-4,3.805100000000001E-5,7.248720000000001E-4
resources/umps10.txt_5_2,1.1630599999999994E-4,6.800699999999996E-5,9.567950000000003E-4
resources/umps10A.txt_5_2,7.816400000000003E-5,2.4928999999999988E-5,8.964029999999998E-4
resources/umps10B.txt_5_2,1.0324199999999993E-4,2.198999999999999E-5,8.459819999999999E-4
resources/umps10C.txt_5_2,4.897599999999997E-5,1.3929999999999999E-5,4.726680000000002E-4
resources/umps12.txt_7_2,1.1041899999999999E-4,2.9427999999999997E-5,0.0015298479999999995
resources/umps12.txt_5_3,1.0134900000000002E-4,2.591599999999999E-5,0.0013561220000000002
resources/umps4.txt_2_1,1.4503499999999998E-4,4.545599999999998E-5,5.713800000000001E-4
resources/umps8.txt_4_2,1.34768E-4,1.52126E-4,9.850399999999997E-4
resources/umps8A.txt_4_2,1.19187E-4,5.2163000000000015E-5,6.631809999999999E-4
resources/umps8B.txt_4_2,1.1986200000000001E-4,5.246800000000002E-5,8.016429999999998E-4
resources/umps8C.txt_4_2,8.445499999999996E-5,3.9174000000000015E-5,4.7108999999999986E-4
resources/umps10.txt_5_2,1.146E-4,4.4113999999999964E-5,8.610660000000001E-4
resources/umps10A.txt_5_2,7.905999999999999E-5,3.4728000000000004E-5,9.513549999999996E-4
resources/umps10B.txt_5_2,5.495599999999999E-5,2.0632999999999997E-5,6.22234E-4
resources/umps10C.txt_5_2,9.272999999999996E-5,2.7731000000000003E-5,6.05868E-4
resources/umps12.txt_7_2,1.1738499999999999E-4,3.754899999999999E-5,0.0014859659999999996
resources/umps4.txt_2_1,1.4472099999999994E-4,3.877099999999999E-5,5.722759999999999E-4
resources/umps8.txt_4_2,1.3717699999999996E-4,7.998399999999997E-5,0.001179612
resources/umps8A.txt_4_2,7.781900000000001E-5,3.4655E-5,6.202890000000001E-4
resources/umps8B.txt_4_2,9.815600000000001E-5,4.0224E-5,8.250990000000003E-4
resources/umps8C.txt_4_2,1.41495E-4,4.2901E-5,6.73101E-4
resources/umps10.txt_5_2,1.08683E-4,4.0552999999999996E-5,8.705869999999997E-4
resources/umps10A.txt_5_2,7.603999999999997E-5,2.8241E-5,8.33961E-4
resources/umps10B.txt_5_2,6.193000000000001E-5,1.9514999999999995E-5,7.681099999999999E-4
resources/umps10C.txt_5_2,3.8910000000000005E-5,1.1570000000000006E-5,3.8878300000000013E-4
resources/umps12.txt_7_2,1.1572700000000007E-4,2.9858999999999993E-5,0.001554549000000001
resources/umps12.txt_5_3,1.0675200000000001E-4,2.730899999999998E-5,0.0013691580000000005
